rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| light | `#585244` | 12.5px/300 | opaque #ece8dc | 6.34 | 4.5 | 1 | 1 | `span.sep` |
| light | `#433c31` | 13.8px/500 | opaque #ccc5b8 | 6.35 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #ccc5b9 | 6.35 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #cdc5b8 | 6.36 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#544019` | 12.5px/700 | opaque #d6cfbf | 6.37 | 4.5 | 1 | 1 | `a.active` |
| light | `#544019` | 12.2px/400 | #bg-canvas | 6.38 | 4.5 | 2 | 1 | `button.tl2-leg.tl2-leg-more` |
| light | `#544019` | 13.8px/700 | opaque #d6cfc3 | 6.39 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #cfc5b7 | 6.39 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 12.5px/700 | canvas+cover | 6.39 | 4.5 | 1 | 1 | `a.active` |
| dark | `#9b937f` | 13.1px/300 | opaque #0d0c0a | 6.40 | 4.5 | 2 | 1 | `div.le-meta` |
| light | `#433c31` | 9.3px/400 | opaque #ccc6ba | 6.40 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 9.3px/400 | opaque #ccc7b1 | 6.41 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 13.8px/500 | opaque #d1c5b7 | 6.42 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #bfc9cb | 6.44 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 16.0px/300 | cover | 6.47 | 4.5 | 33 | 12 | `span` |
| dark | `#7d9cc0` | 9.9px/300 | opaque #16140f | 6.48 | 4.5 | 3 | 1 | `div.ec-kicker` |
| dark | `#7d9cc0` | 21.6px/300 | opaque #16140f | 6.48 | 4.5 | 3 | 1 | `span.ec-arrow` |
| light | `#433c31` | 15.5px/300 | #bg-canvas | 6.49 | 4.5 | 26 | 2 | `p` |
| light | `#433c31` | 12.2px/400 | #bg-canvas | 6.53 | 4.5 | 42 | 2 | `button.tl2-leg` |
| light | `#433c31` | 11.8px/300 | #bg-canvas | 6.53 | 4.5 | 6 | 2 | `p.map-hint` |
| light | `#544019` | 16.8px/500 | #bg-canvas | 6.53 | 4.5 | 6 | 2 | `a.aw-btn.primary.ob-cta` |
| light | `#433c31` | 15.8px/300 | #bg-canvas | 6.54 | 4.5 | 20 | 10 | `p.desc-col` |
| light | `#544019` | 12.5px/700 | opaque #dad1c5 | 6.55 | 4.5 | 1 | 1 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #b08a47 | 6.57 | 4.5 | 5 | 1 | `text.md-flag` |
| light | `#433c31` | 11.2px/300 | cover | 6.59 | 4.5 | 8 | 1 | `span` |
| light | `#585244` | 13.1px/300 | opaque #f2ecdf | 6.59 | 4.5 | 3 | 1 | `div.le-meta` |
| light | `#000000` | 13.0px/300 | opaque #ad8b50 | 6.59 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#000000` | 13.0px/300 | opaque #ab8c4f | 6.60 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#544019` | 12.5px/700 | #bg-canvas | 6.62 | 4.5 | 22 | 10 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #b08b47 | 6.63 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #b08b48 | 6.63 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #b08b49 | 6.64 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 17.9px/300 | #bg-canvas | 6.65 | 4.5 | 2 | 1 | `p.daily-note` |
| light | `#433c31` | 17.9px/300 | cover | 6.66 | 4.5 | 12 | 12 | `div.hero-tagline` |
| light | `#000000` | 13.0px/300 | opaque #b18b49 | 6.66 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #b18b48 | 6.66 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#000000` | 13.0px/300 | opaque #b18c48 | 6.71 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#433c31` | 16.3px/300 | #bg-canvas | 6.72 | 4.5 | 35 | 16 | `p.page-lede` |
| light | `#433c31` | 13.8px/500 | opaque #cecdb6 | 6.75 | 4.5 | 1 | 1 | `a` |
